round,loss,accuracy
1,1.6937,66.33
2,1.4476,70.54
3,1.2520,73.26
4,1.1011,75.91
5,0.9916,77.52
6,0.9125,77.83
7,0.8515,79.53
8,0.8049,79.58
9,0.7650,80.22
10,0.7335,80.83
11,0.7071,81.18
12,0.6815,81.68
13,0.6601,82.13
14,0.6400,82.41
15,0.6257,82.59
16,0.6091,82.97
17,0.5970,83.26
18,0.5835,83.57
19,0.5726,83.81
20,0.5607,84.03
