round,loss,accuracy
1,1.9175,60.47
2,1.2706,77.14
3,0.8835,81.47
4,0.7157,82.93
5,0.6242,83.93
6,0.5698,84.82
7,0.5307,85.32
8,0.5023,86.15
9,0.4779,86.40
10,0.4642,86.67
11,0.4424,87.39
12,0.4289,87.50
13,0.4178,87.98
14,0.4068,88.43
15,0.3941,88.82
16,0.3892,88.94
17,0.3770,89.33
18,0.3714,89.40
19,0.3616,89.60
20,0.3581,89.55
