round,train_loss,train_acc,val_loss,val_acc
1,1.5231,60.07,0.6419,91.26
2,0.6710,85.57,0.2569,93.58
3,0.4100,90.18,0.2025,94.51
4,0.3179,91.49,0.1792,94.89
5,0.2791,92.41,0.1673,95.08
6,0.2545,93.06,0.1571,95.26
7,0.2393,93.45,0.1512,95.38
8,0.2262,93.82,0.1473,95.52
9,0.2163,93.96,0.1405,95.75
10,0.2105,94.05,0.1376,95.82
11,0.2008,94.29,0.1340,95.77
12,0.1907,94.66,0.1337,95.87
13,0.1886,94.82,0.1281,96.11
14,0.1870,94.91,0.1257,96.08
15,0.1798,95.04,0.1222,96.26
16,0.1734,95.16,0.1228,96.29
17,0.1727,95.26,0.1196,96.31
18,0.1678,95.44,0.1166,96.50
19,0.1611,95.55,0.1146,96.52
20,0.1595,95.62,0.1129,96.58
