round,train_loss,train_acc,val_loss,val_acc
1,2.1666,32.08,1.8535,46.34
2,1.8997,44.09,1.5366,72.67
3,1.6301,57.36,1.2442,72.61
4,1.3807,63.43,1.0241,76.82
5,1.1852,68.08,0.8676,80.09
6,1.0279,72.32,0.7538,83.06
7,0.9178,75.36,0.6651,85.55
8,0.8364,77.66,0.6041,86.48
9,0.7654,79.57,0.5452,86.69
10,0.7093,80.84,0.5033,87.32
11,0.6630,82.36,0.4670,88.11
12,0.6264,83.11,0.4392,88.88
13,0.6008,83.67,0.4240,88.23
14,0.5725,84.39,0.3962,89.59
15,0.5468,85.27,0.3805,89.71
16,0.5299,85.45,0.3639,90.17
17,0.5205,85.84,0.3556,90.29
18,0.4999,86.40,0.3453,90.46
19,0.4906,86.59,0.3366,90.32
20,0.4746,87.28,0.3305,90.73
